"Country","Region","Happiness.Rank","Happiness.Score","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","Happinness State"
"Dominican Republic","Latin America and Caribbean","86","5.2300000190735","1.0793738365173","1.4024167060852","0.57487374544144","0.55258983373642","0.11394525319338","0.18696784973145","1.3194651603699","Happy"
"Ecuador","Latin America and Caribbean","44","6.0079998970032","1.0008203983307","1.2861688137054","0.68563622236252","0.4551981985569","0.14013464748859","0.15011246502399","2.2903525829315","Happy"
"Egypt","Middle East and Northern Africa","104","4.7350001335144","0.98970180749893","0.99747139215469","0.5201872587204","0.28211015462875","0.11438136547804","0.12863144278526","1.7021610736847","Happy"
"El Salvador","Latin America and Caribbean","45","6.0029997825623","0.90978449583054","1.1821250915527","0.59601855278015","0.43245252966881","0.089980959892273","0.078257985413074","2.7145938873291","Happy"
"Estonia","Central and Eastern Europe","66","5.6110000610352","1.3208793401718","1.4766710996628","0.69516831636429","0.4791314303875","0.18324892222881","0.09889081120491","1.3575086593628","Happy"
"Ethiopia","Sub-Saharan Africa","119","4.460000038147","0.33923384547234","0.86466920375824","0.35340970754623","0.40884274244308","0.16545571386814","0.31265074014664","2.0157437324524","Happy"
"Finland","Western Europe","5","7.4689998626709","1.4435719251633","1.5402467250824","0.80915766954422","0.61795085668564","0.38261154294014","0.24548277258873","2.4301815032959","Very Happy"
"France","Western Europe","31","6.441999912262","1.4309234619141","1.3877768516541","0.84446585178375","0.47022211551666","0.17250242829323","0.12976230680942","2.0059547424316","Happy"
"Gabon","Sub-Saharan Africa","118","4.4650001525879","1.1982102394104","1.1556202173233","0.35657858848572","0.31232857704163","0.076046787202358","0.043785378336906","1.3229162693024","Happy"
"Georgia","Central and Eastern Europe","125","4.2859997749329","0.95061266422272","0.57061493396759","0.64954698085785","0.3094100356102","0.25166663527489","0.054008815437555","1.5001378059387","Happy"
"Germany","Western Europe","16","6.9510002136231","1.4879233837128","1.4725203514099","0.7989507317543","0.56251138448715","0.2767319381237","0.33626917004585","2.0157699584961","Very Happy"
"Ghana","Sub-Saharan Africa","131","4.1199998855591","0.66722482442856","0.87366473674774","0.29563772678375","0.42302629351616","0.025336369872093","0.25692394375801","1.5778675079346","Happy"
"Greece","Western Europe","87","5.2270002365112","1.2894874811173","1.2394145727158","0.8101989030838","0.095731250941753","0.04328977689147","0","1.7492215633392","Happy"
"Guatemala","Latin America and Caribbean","29","6.4539999961853","0.87200194597244","1.255585193634","0.54023998975754","0.53131061792374","0.077223278582096","0.2834883928299","2.8938910961151","Happy"
"Guinea","Sub-Saharan Africa","149","3.5069999694824","0.24454993009567","0.79124468564987","0.19412913918495","0.34858751296997","0.11093761771917","0.26481509208679","1.5523118972778","Happy"
"Haiti","Latin America and Caribbean","145","3.6029999256134","0.36861026287079","0.64044982194901","0.27732113003731","0.03036985732615","0.099872149527073","0.48920378088951","1.697167634964","Happy"
"Honduras","Latin America and Caribbean","91","5.1810002326965","0.730573117733","1.143944978714","0.58256947994232","0.34807986021042","0.073345452547073","0.23618887364864","2.0658111572266","Happy"
"Hong Kong S.A.R., China","Eastern Asia","71","5.4720001220703","1.5516748428345","1.2627909183502","0.94306242465973","0.49096864461899","0.29393374919891","0.3744657933712","0.55463314056396","Happy"
"Hungary","Central and Eastern Europe","75","5.3239998817444","1.2860119342804","1.3431330919266","0.68776345252991","0.17586351931095","0.036636937409639","0.078401662409306","1.716459274292","Happy"
"Iceland","Western Europe","3","7.5040001869202","1.480633020401","1.6105740070343","0.83355212211609","0.62716263532639","0.15352655947208","0.47554022073746","2.3227152824402","Very Happy"
"India","Southern Asia","122","4.3150000572205","0.79222124814987","0.75437259674072","0.45542761683464","0.46998700499535","0.092226885259152","0.23153848946094","1.5191171169281","Happy"
"Indonesia","Southeastern Asia","81","5.2620000839233","0.99553859233856","1.2744446992874","0.49234572052956","0.44332346320152","0.015317135490477","0.6117045879364","1.4294769763946","Happy"
"Iran","Middle East and Northern Africa","108","4.691999912262","1.1568731069565","0.71155124902725","0.63933318853378","0.24932260811329","0.048761073499918","0.38724291324616","1.4987349510193","Happy"
"Iraq","Middle East and Northern Africa","117","4.4970002174377","1.1027104854584","0.9786131978035","0.50118046998978","0.28855553269386","0.10721575468779","0.19963726401329","1.3189072608948","Happy"
"Ireland","Western Europe","15","6.9770002365112","1.5357066392899","1.5582311153412","0.80978262424469","0.57311034202576","0.29838815331459","0.42785832285881","1.7738690376282","Very Happy"
"Israel","Middle East and Northern Africa","11","7.2129998207092","1.3753824234009","1.3762899637222","0.83840399980545","0.40598860383034","0.085242100059986","0.330082654953","2.8017573356628","Very Happy"
"Italy","Western Europe","48","5.9640002250671","1.3950666189194","1.4449232816696","0.85314434766769","0.25645071268082","0.028028091415763","0.17278964817524","1.8133120536804","Happy"
"Ivory Coast","Sub-Saharan Africa","128","4.1799998283386","0.60304892063141","0.90478003025055","0.048642169684172","0.44770619273186","0.13006177544594","0.20123746991158","1.8449642658234","Happy"
